UniqueKey,Ranking,Resight ID,Name,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity
,Arbitration,IND00197,Sanjeev K Kapoor,8.3,Ranked 1st,1,8.2,Ranked 2nd,8.5,9.2,6.1,8.2,8.9,Ranked 3rd,9.4,7.2,8.9,9.6
,Arbitration,IND00602,Vijayendra Pratap Singh,8.2,Ranked 2nd,2,8.2,Ranked 3rd,10,8.5,0,9.6,8.6,Top 10,9,8.2,6.5,9.4
,Arbitration,IND00589,Rajendra Barot,8.2,Ranked 3rd,3,8.3,Ranked 1st,8.5,9.4,7.2,6.9,9.3,Ranked 1st,8.2,9.7,8.8,9.6
,Arbitration,IND00386,Shaneen Parikh,8,Top 5,4,8.2,Top 5,7.6,10,7.4,9,8.7,Top 5,7.6,7.4,9.2,9.7
,Arbitration,IND00761,Nitesh Jain,8,Top 5,5,7,Top 10,7.2,5.3,7.4,8.8,9.2,Ranked 2nd,7.5,9.4,9.2,9.8
,Arbitration,IND02504,Vyapak Desai,7.8,Top 10,6,8.1,Top 5,7.9,9.4,5.9,9.9,7.6,,8.2,8.6,0,9.4
,Arbitration,IND00456,Ila Kapoor,7.6,Top 10,7,7.4,Top 10,6.4,9.2,7.8,8.4,8.3,Top 10,8.7,5.9,9.4,9.2
,Arbitration,IND00439,Binsy Susan,7.3,Top 10,8,7.1,Top 10,6.8,6.6,7.7,8.2,7.8,,5.7,8.9,6.1,8.6
,Arbitration,IND00112,Kingshuk Banerjee,6.8,Top 10,9,6.1,Top 10,5.2,7.8,5.1,9,7.8,,8.4,6.4,5.9,9
,Arbitration,IND00020,Ajay Bhargava,6.8,Top 10,10,5.1,,3.1,7.5,6.4,9.8,8.3,Top 10,9.5,7.6,7.4,8.7
,Arbitration,IND00788,Shankh Sengupta,6.4,,11,5.6,,5.2,5.3,6.4,7.3,6.8,,4.1,6.4,6.9,7.9
,Arbitration,IND01508,Naresh Thacker,6.4,,12,6,Top 10,4.3,7.5,8,9.1,7,,6.9,8.3,4.7,7
,Arbitration,IND00337,Kapil Arora,6.2,,13,3.6,,0,8.7,5.8,9.7,8.2,,6.1,7,9.7,9
,Arbitration,IND07512,Manoj K Singh,6,,14,3.2,,0,6.6,7.2,8.5,8.1,,9.9,7.1,9.9,7.6
,Arbitration,IND02631,Gunita Pahwa,5.9,,15,3.4,,0,6.6,8.1,8.7,8.4,Top 10,9.5,8.5,9.8,7.6
,Arbitration,IND00712,Ashish Bhan,5.9,,16,3,,1,7.8,0,9.2,7.8,,5.5,8.1,6.8,8.7
,Arbitration,IND00801,Tine Abraham,5.9,,17,3.6,,1,7.8,4.3,7.9,7.5,,7.6,5,8.8,8.3
,Arbitration,IND01936,Dheeraj Nair,5.9,,18,3.9,,4.3,0,5.1,7.2,7.6,,8.9,6.6,7.3,7.9
,Arbitration,IND02739,Manmeet Singh,5.8,,19,2.7,,1,6,0,9.7,8.1,,5.5,9,8.7,8.2
,Arbitration,IND00327,Indranil Deshmukh,5.8,,20,3,,1,8.2,0,8.4,8.4,Top 10,8.9,8.9,8.2,8.1
,Arbitration,IND02569,Suvigya Awasthy,5.8,,21,3.6,,0,7.5,7.8,8.9,7.1,,7.1,5.5,5.5,8.5
,Arbitration,IND00929,Sameer Tapia,5.7,,22,3.1,,0,5.3,7.4,9.4,8.7,Top 5,0,0,8.7,0
,Arbitration,IND00540,Smarika Singh,5.7,,23,3.4,,3.1,4.4,0,8.4,7.3,,5.7,6,5.8,9
,Arbitration,IND00663,Priyanka Shetty,5.6,,24,2.6,,0,3.2,6.9,9,7.6,,7.6,9.7,0,9
,Arbitration,IND00345,Lomesh Nidumuri,5.6,,25,2.6,,1,5.3,0,9.5,7.8,,4.9,7.4,9.5,8.5
,Arbitration,IND01048,Sneha Jaisingh,5.5,,26,2.3,,0,3.2,5.1,8.6,7.8,,9.8,4.1,9.5,8.5
,Arbitration,IND00739,Ketan Gaur,5.2,,27,2.6,,1,3.2,6.6,4.4,7.5,,7.6,7.9,0,9.8
,Arbitration,IND07515,Ashim Sood,5.2,,28,2.8,,1,6.6,0,9.2,7.7,,7.1,9.1,7.1,7.3
,Arbitration,IND07574,Sooraj Sharma,5.2,,29,1.7,,0,4.4,0,8.6,7.8,,6.1,8.6,5.5,8.7
,Arbitration,IND00064,Chakrapani Misra,5.2,,30,4.4,,1,9.2,7.2,9.1,5.5,,5.7,4.2,0,8
,Capital Markets - Equity,IND00502,Prashant Gupta,9.3,Ranked 1st,1,9.7,Ranked 1st,10,9.8,8.9,9.5,9.2,Ranked 2nd,7.3,9.9,9.9,9.2
,Capital Markets - Equity,IND01732,Manan Lahoty,8.7,Ranked 2nd,2,9.2,Ranked 2nd,9,9.7,8.5,10,9,Top 10,7.9,9.8,7.9,9.5
,Capital Markets - Equity,IND03123,Yash J. Ashar,8.5,Ranked 3rd,3,9.2,Ranked 3rd,9.3,10,8.2,8.8,8.8,Top 10,6.5,10,9.7,8.5
,Capital Markets - Equity,IND02634,Sandip Bhagat,8.5,Top 5,4,8.5,Top 5,8.2,10,7.9,8,9,Top 10,6.3,10,10,9.2
,Capital Markets - Equity,IND00777,Richa Choudhary,8.2,Top 5,5,6.6,,5,9,7,9.7,9.8,Ranked 1st,10,9.9,10,9.5
,Capital Markets - Equity,IND00494,Nikhil Naredi,8.1,Top 10,6,8.6,Top 5,9,8.6,7,8.7,8.3,,7.6,9,9.8,7.3
,Capital Markets - Equity,IND00715,Bhakta Patnaik,8,Top 10,7,7,Top 10,6.5,8.6,6.7,7.5,9.1,Ranked 3rd,8.8,8.6,10,9.2
,Capital Markets - Equity,IND00005,Abhimanyu Bhattacharya,7.9,Top 10,8,8,Top 10,7.7,9.3,7,8.5,7.9,,6.1,8.5,6.5,8.5
,Capital Markets - Equity,IND03138,Vijay Parthasarathi,7.8,Top 10,9,7.7,Top 10,7.7,7.2,7.6,8.8,8.4,,8.3,8.7,8.2,8.2
,Capital Markets - Equity,IND00271,Abhinav Kumar,7.8,Top 10,10,7.2,Top 10,6.7,8.1,6.7,9.3,9.1,Top 5,8.4,9.6,9.6,8.8
,Capital Markets - Equity,IND01915,Arka Mookerjee,7.4,,11,6.5,,4.5,9,8.5,9.3,9,Top 10,9.2,9,9.9,8.5
,Capital Markets - Equity,IND02635,Jabarati Chandra,7.4,,12,6,,4.5,8.1,7,8.5,8.7,,6.5,9.5,10,8.5
,Capital Markets - Equity,IND01774,Vishal Yaduvanshi,7.4,,13,7.1,Top 10,6.7,7.6,6.7,8.4,8.6,,7.4,9.2,9.9,8.2
,Capital Markets - Equity,IND00016,Aditya George Cheriyan,7.1,,14,5.9,,6.2,2.9,7.6,8.3,7.5,,6.7,8.2,6.8,7.8
,Capital Markets - Equity,IND01975,Madhurima Mukherjee (Saha),7,,15,6.9,,5.9,8.7,7.2,9,7.7,,9.3,9.5,0,8.2
,Capital Markets - Equity,IND00601,Varoon Chandra,6.9,,16,4.9,,3.7,9.4,6.2,0,9.1,Top 5,10,9.6,7.6,8.8
,Capital Markets - Equity,IND00229,Sudhir Bassi,6.9,,17,5.1,,5.9,5.3,0,8.2,8.4,,7.5,8.4,8.7,9
,Capital Markets - Equity,IND00579,Lionel D'Almeida,6.8,,18,5,,2.7,7.9,6.7,9.1,8.7,,7.3,9.2,9.8,8.5
,Capital Markets - Equity,IND00090,Gautham Srinivas,6.7,,19,4.9,,3.7,4.7,6.8,8.4,8.5,,7.3,9.3,8.8,8.2
,Capital Markets - Equity,IND00323,Gokul Rajan,6.6,,20,5.1,,2.7,8.2,7.6,7.7,8.3,,6.1,9.2,9.8,8
,Capital Markets - Equity,IND02649,Jitesh Shahani,6.3,,21,5.1,,3.7,6.2,6.4,8.1,7,,4.2,8.3,10,6
,Capital Markets - Equity,IND01752,Ravi Dubey,6.3,,22,4.9,,2.7,7.2,6.8,9.2,7.5,,7.6,9,7.8,5.8
,Capital Markets - Equity,IND00698,Albin Thomas,5.9,,23,2.4,,0,2.9,6.2,9.5,8.8,Top 10,8.4,8.6,9.9,8.5
,Capital Markets - Equity,IND06252,Aashima Johur,5.7,,24,2.4,,0,2.9,6.7,8.4,8.1,,7.4,8.6,6.3,8.8
,Capital Markets - Equity,IND02650,Juhi Singh,5.7,,25,3.2,,0,6.6,6.9,8.6,7.5,,4.7,8.2,9.8,7.2
,Capital Markets - Equity,IND00371,Reuben Chacko,5.7,,26,3,,5,1,0,0,7.6,,7.5,8.3,4.7,10
,Capital Markets - Equity,IND03708,Abhinav Maker,5.7,,27,2.3,,0,2.9,6,8.4,8.2,,7.8,8,8.9,8.2
,Capital Markets - Equity,IND01046,Vishnu Dutt U,5.7,,28,3,,0,5.3,7.3,8.7,7.8,,7.9,7.6,8.8,7.5
,Capital Markets - Equity,IND02647,Pratichi Mishra,5.6,,29,2.3,,0,4.7,4.4,7.5,7.9,,4.7,9.1,8.4,8.5
