Resight ID,Ranking,@Image path,Name,Position,Location,Organisation,Bio,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity,Sophistication score,Sophistication rank badge,S Tech and data,S Pricing,S Talent development,Experience score,Experience rank badge,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership
IND00197,Arbitration,Sanjeev Kapoor.png,Sanjeev K Kapoor,Partner,Delhi,Khaitan & Co,,8.3,Ranked 1st,1,8.2,Ranked 2nd,8.5,9.2,6.1,8.2,8.9,Ranked 3rd,9.4,7.2,8.9,9.6,7.4,Top 10,8,7,-,8.5,Top 10,10,10,10,10,10,10,10,10
IND00602,Arbitration,Photos/Vijayendra-Pratap-Singh_5792526_1.jpg,Vijayendra Pratap Singh,Senior Partner,Delhi,AZB & Partners,,8.2,Ranked 2nd,2,8.2,Ranked 3rd,10,8.5,0,9.6,8.6,Top 10,9,8.2,6.5,9.4,7.7,Ranked 2nd,7.3,8,8,8.1,,10,10,10,8,10,10,8,10
IND00589,Arbitration,Photos/Rajendra-Barot_5789029_1.jpg,Rajendra Barot,Senior Partner,Mumbai,AZB & Partners,,8.2,Ranked 3rd,3,8.3,Ranked 1st,8.5,9.4,7.2,6.9,9.3,Ranked 1st,8.2,9.7,8.8,9.6,6,,6,4,7,10,Ranked 1st,10,10,10,10,10,10,10,10
IND00386,Arbitration,Photos/Shaneen-Parikh-updated.png,Shaneen Parikh,Partner (Head - International Arbitration),Mumbai,Cyril Amarchand Mangaldas,,8,Top 5,4,8.2,Top 5,7.6,10,7.4,9,8.7,Top 5,7.6,7.4,9.2,9.7,6.1,,5.3,6,-,-,,-,-,-,-,-,-,-,-
IND00761,Arbitration,Photos/Nitesh Jain.png,Nitesh Jain,Partner,Mumbai,Trilegal,,8,Top 5,5,7,Top 10,7.2,5.3,7.4,8.8,9.2,Ranked 2nd,7.5,9.4,9.2,9.8,7.3,,7.3,4,9,-,,-,-,-,-,-,-,-,-
IND02504,Arbitration,Photos/Vyapak Desai - Arb.jpg,Vyapak Desai,Counsel,Mumbai,Vyapak Desai Law Chambers,,7.8,Top 10,6,8.1,Top 5,7.9,9.4,5.9,9.9,7.6,,8.2,8.6,0,9.4,7.3,,7.3,8,7,9.3,Top 5,10,10,10,10,9,9,10,10
IND00456,Arbitration,Photos/ila-kapur.png,Ila Kapoor,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,7.6,Top 10,7,7.4,Top 10,6.4,9.2,7.8,8.4,8.3,Top 10,8.7,5.9,9.4,9.2,6.7,,5.3,7,8,-,,-,-,-,-,-,-,-,-
IND00439,Arbitration,Photos/Binsy Susan.png,Binsy Susan,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,7.3,Top 10,8,7.1,Top 10,6.8,6.6,7.7,8.2,7.8,,5.7,8.9,6.1,8.6,6.7,,8.7,6,5,7,,8,8,8,8,8,8,8,8
IND00112,Arbitration,Photos/Kingshuk.png,Kingshuk Banerjee,Partner,Mumbai,Khaitan & Co,,6.8,Top 10,9,6.1,Top 10,5.2,7.8,5.1,9,7.8,,8.4,6.4,5.9,9,6.5,,7.3,6,6,8.3,Top 10,10,10,10,10,10,10,8,10
IND00020,Arbitration,Photos/Ajay Bhargava_0.png,Ajay Bhargava,Partner,Delhi,Khaitan & Co,,6.8,Top 10,10,5.1,,3.1,7.5,6.4,9.8,8.3,Top 10,9.5,7.6,7.4,8.7,7.2,,6,6,9,-,,-,-,-,-,-,-,-,-
